,HINDEX_L1,Hour,CATEGORY
0,6.0,14,others
1,5.0,14,unknown
2,6.0,14,"setting fires in nature and in landfills, burning grasses"
3,4.0,16,unknown
4,2.0,18,unknown
5,6.0,16,cigarette butt
6,5.0,18,match or lighter
7,5.0,11,unknown
8,3.0,18,"setting fires in nature and in landfills, burning grasses"
9,5.0,16,unknown
10,5.0,16,unknown
11,5.0,16,unknown
12,5.0,14,"setting fires in nature and in landfills, burning grasses"
13,3.0,9,others
14,6.0,14,"setting fires in nature and in landfills, burning grasses"
15,6.0,14,unknown
16,6.0,13,others
17,4.0,10,"setting fires in nature and in landfills, burning grasses"
18,6.0,18,cigarette butt
19,6.0,13,others
20,5.0,7,unknown
21,6.0,18,unknown
22,3.0,22,arson
23,3.0,21,unknown
24,4.0,12,"setting fires in nature and in landfills, burning grasses"
25,5.0,16,"setting fires in nature and in landfills, burning grasses"
26,4.0,9,others
27,4.0,14,unknown
28,5.0,13,unknown
29,3.0,12,unknown
30,5.0,18,unknown
31,3.0,11,unknown
32,6.0,11,unknown
33,3.0,15,unknown
34,3.0,11,unknown
35,4.0,11,arson
36,4.0,7,arson
37,6.0,14,unknown
38,3.0,10,unknown
39,3.0,18,unknown
40,3.0,23,match or lighter
41,4.0,10,others
42,6.0,15,unknown
43,6.0,13,cigarette butt
44,6.0,18,cigarette butt
45,6.0,13,unknown
46,6.0,20,"setting fires in nature and in landfills, burning grasses"
47,6.0,4,"setting fires in nature and in landfills, burning grasses"
48,5.0,19,unknown
49,6.0,12,unknown
50,3.0,15,unknown
51,2.0,7,unknown
52,4.0,14,unknown
53,4.0,16,unknown
54,5.0,14,unknown
55,5.0,17,unknown
56,6.0,20,unknown
57,2.0,15,unknown
58,3.0,11,unknown
59,6.0,14,unknown
60,6.0,10,unknown
61,6.0,13,unknown
62,4.0,18,"setting fires in nature and in landfills, burning grasses"
63,5.0,17,unknown
64,3.0,17,unknown
65,6.0,14,unknown
66,5.0,11,unknown
67,5.0,17,unknown
68,5.0,14,"setting fires in nature and in landfills, burning grasses"
69,5.0,16,"setting fires in nature and in landfills, burning grasses"
70,6.0,17,"setting fires in nature and in landfills, burning grasses"
71,3.0,9,cigarette butt
72,6.0,13,"setting fires in nature and in landfills, burning grasses"
73,4.0,13,unknown
74,4.0,14,unknown
75,4.0,18,unknown
76,6.0,17,"setting fires in nature and in landfills, burning grasses"
77,2.0,18,unknown
78,5.0,17,match or lighter
79,3.0,18,unknown
80,5.0,19,unknown
81,4.0,19,"setting fires in nature and in landfills, burning grasses"
82,2.0,15,unknown
83,4.0,10,arson
